_id,system,file,start,end,constraint_text,poorly_written,context,sentence,operands,constraint_type,discourse_pattern,filter
637efb0ca907ec96a46a985e,joda_time-2.10.3,cal_coptic.html.txt,1207,1269,the remainder left after dividing the Coptic year by four is 3.,unclear-reference,"The Coptic calendar system consists of 12 months of exactly 30 days, followed by a 5 or 6 day intercalary month making a year of 365 or 366 days. Leap years (6 day intercalary month) occur every 4 years without exception (as per the Julian calendar). They occur when the remainder left after dividing the Coptic year by four is 3. The Coptic year starts on Septamber 11th/12th depending on leap years. The epoch date for the calendar is 0284-08-29 (Julian), which therefore is 0001-01-01 (Coptic). The current era is 'AM' (Anno Martyrum or Year of the Martyrs).",They occur when the remainder left after dividing the Coptic year by four is 3.,"the remainder left after dividing the Coptic year by four, 3",value-comparison,NP_BE_VALUE,null
637efb0ca907ec96a46a9b2f,jpos-2.1.4,proguide-draft.pdf.txt,53732,53755,"defaults to 100
  threads.",well-written,"onal ThreadPool. Should you pass
  a null parameter there, a new ThreadPool is created for you, which defaults to 100
  threads. (new ThreadPool (1,100))
  Once again, we show this sample code for educational purposes. In real li","(new ThreadPool (1,100))
  Once again, we show this sample code for educational purposes.","thread pool default, 100 threads",concrete-value,null,null
637efb0da907ec96a46a9f6f,swarm-2.8.11,swarm_v2.txt,63577,63600,"tag mode is
  not enabled",well-written,null,"(When tag mode is
  not enabled, markers and events are not visible, and the helicorder is formatted for best fit.)","tag mode, not enabled",binary-value,NP_BE_BINARY_VALUE,null
63a0caaab194bde6b17a9be9,argouml-0.35.4,manual.html.txt,499194,499267,"multiplicity
  of 1 (the default).",well-written,null,"[[Caution]] Caution
  UML requires that an end with a composition relationship must have a multiplicity
  of 1 (the default).","multiplicity, 1",concrete-value,NP_OF_VALUE,null
63a0caaab194bde6b17a9bfb,argouml-0.35.4,manual.html.txt,396564,396598,sliders are set by default to High,well-written,null,"[[Note]] Note
  The sliders are set by default to High for all design categories.","sliders, High",concrete-value,NP_SET_TO_VALUE,null
637efb0ca907ec96a46a9863,joda_time-2.10.3,cal_islamic.html.txt,1620,1659,"2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29",null,"The definition of a leap year in the Islamic calendar varies. All agree on a 30 year cycle, however which years within the 30 are leap varies by the leap year pattern:
  ...
  15-based | 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29","15-based 2, 5, 7, 10, 13, 15, 18, 21, 24, 26, 29
  16-based 2, 5, 7, 10, 13, 16, 18, 21, 24, 26, 29
  Indian 2, 5, 8, 10, 13, 16, 19, 21, 24, 27, 29
  Habash al-Hasib 2, 5, 8, 11, 13, 16, 19, 21, 24, 27, 30",null,categorical-value,null,table
63a0caaab194bde6b17a9bfc,argouml-0.35.4,manual.html.txt,398608,398644,slider set by default to priority 1.,well-written,null,"[[Warning]] Warning
  The V0.20 version of ArgoUML provides a single design goal, Unspecified, with its
  slider set by default to priority 1.","slider, priority 1",concrete-value,NP_SET_TO_VALUE,null
637efb0ca907ec96a46a9866,apache-ant-1.10.6,clonevm.html.txt,284,317,"the value of the property is true,",unclear-reference,"If the value of the property is true, then all system properties of the forked JVM will be the same as those of the JVM running Ant. In addition, if you set ant.build.clonevm to true and build.sysclasspath has not been set, the bootclasspath of forked JVMs gets constructed as if build.sysclasspath had the value last.","If the value of the property is true, then all system properties of the forked JVM will be the same as those of the JVM running Ant.","clonevm, true",binary-value,null,null
637efb0ca907ec96a46a9867,guava-28.0,CollectionUtilitiesExplained.md.txt,5058,5066,if empty.,null,"getFirst(Iterable, T default) | Returns the first element of the iterable, or the default value if empty.","| [`Lists.partition(List, int)`], [`paddedPartition(Iterable, int)`]
  [`getFirst(Iterable, T default)`] | Returns the first element of the iterable, or the default value if empty.",null,binary-value,null,table
637efb0ca907ec96a46a9868,guava-28.0,CollectionUtilitiesExplained.md.txt,6040,6061,has multiple elements.,null,getOnlyElement(Iterable) | Returns the only element in Iterable. Fails fast if the iterable is empty or has multiple elements.,Fails fast if the iterable is empty or has multiple elements.,null,binary-value,null,table
637efb0ca907ec96a46a9869,guava-28.0,CollectionUtilitiesExplained.md.txt,16235,16265,sub.count(o) <= super.count(o)`,null,"containsOccurrences(Multiset sup, Multiset sub) | Returns true if sub.count(o) <= super.count(o) for all o.","Method | Explanation | Difference from `Collection` method
  :------------------------------------------------------------ | :-------------------------------------------------------------------------------------------------------- | :----------------------------------
  [`containsOccurrences(Multiset sup, Multiset sub)`] | Returns `true` if `sub.count(o) <= super.count(o)` for all `o`.",null,value-comparison,null,source-code
637efb0ca907ec96a46a986a,rhino-1.6R5,ECMA-262-3.txt,62031,62583,null,null,"Tab <TAB> Vertical Tab <VT> 
  Form Feed <FF> Space <SP> No-break space <NBSP> Other category ""Zs"" Any other Unicode <USP> ""space separator"""",
  ""operands"": ""characters, Tab <TAB>, Vertical Tab <VT>, 
  Form Feed <FF>, Space <SP>, No-break space <NBSP>, Other category ""Zs"", Any other Unicode <USP> ""space separator"""",
  ""constraint_type"": ""categorical-value"",
  ""context"": ""The following characters are considered to be white space:
  
  
 

  Code Point Value | Name | Formal Name
  | Tab | <TAB>
  | Vertical Tab | <VT>
  
  
 

  | Form Feed | <FF>
  | Space | <SP>
  | No-break space | <NBSP>
  Other category ""Zs"" | Any other Unicode ""space separator"" | <USP>
  "",
  ""sentence"": ""Code Point Value Name Formal Name
  Tab <TAB>
  Vertical Tab <VT>
  
  Form Feed <FF>
  Space <SP>
  No-break space <NBSP>
  Other category ""Zs"" Any other Unicode <USP>
  ""space separator""
  
  
 

  - 12 -",null,null,categorical-value,null,null
637efb0ca907ec96a46a986b,rhino-1.6R5,ECMA-262-3.txt,64151,64198,"any character except a LineTerminator character,",null,"Because a single-line comment can contain any character except a LineTerminator character, and because
  of the general rule that a token is always as long as possible, a single-line comment always consists of all
  characters from the // marker to the end of the line. However, the LineTerminator at the end of the line is
  not considered to be part of the single-line comment; it is recognised separately by the lexical grammar and
  becomes part of the stream of input elements for the syntactic grammar. This point is very important,
  because it implies that the presence or absence of single-line comments does not affect the process of
  automatic semicolon insertion (7.9).","Because a single-line comment can contain any character except a LineTerminator character, and because
  of the general rule that a token is always as long as possible, a single-line comment always consists of all
  characters from the // marker to the end of the line.",null,value-comparison,null,null
637efb0ca907ec96a46a986c,rhino-1.6R5,ECMA-262-3.txt,66511,67045,Keyword :: one of break else new var case finally return void catch for switch while continue function this with default if throw delete in try do instanceof typeof,null,"The following tokens are ECMAScript keywords and may not be used as identifiers in ECMAScript programs.
  
  
 

  Keyword :: one of: break, else, new, var, case, finally, return, void, catch, for, switch, while, continue, function, this, with, default, if, throw, delete, in, try, do, instanceof, typeof",null,null,categorical-value,null,null
637efb0ca907ec96a46a986d,rhino-1.6R5,ECMA-262-3.txt,72631,72642,namely true.,null,"The value of the Boolean literal true is a value of the Boolean type, namely true.","Semantics
  The value of the Boolean literal true is a value of the Boolean type, namely true.",null,categorical-value,null,null
637efb0ca907ec96a46a986e,rhino-1.6R5,ECMA-262-3.txt,95882,95937,Any variable that has not been assigned a value,null,"The Undefined type has exactly one value, called undefined. Any variable that has not been assigned a value has the value undefined.","Any variable that has not been assigned a
  value has the value undefined.",null,concrete-value,null,null
637efb0ca907ec96a46a986f,rhino-1.6R5,ECMA-262-3.txt,111453,111490,"O doesn't have a property with name P,",null,"When the [[Put]] method of O is called with property P and value V, the following steps are taken:
  ...
  3. If O doesn't have a property with name P, go to step 6.","If O doesn’t have a property with name P, go to step 6.",null,binary-value,null,null
637efb0ca907ec96a46a9870,rhino-1.6R5,ECMA-262-3.txt,112134,112173,"the property has the ReadOnly attribute,",null,"When the [[CanPut]] method of O is called with property P, the following steps are taken:
  ...
  2. If the property has the ReadOnly attribute, return false.","If the property has the ReadOnly attribute, return false.",null,binary-value,null,null
637efb0ca907ec96a46a9871,rhino-1.6R5,ECMA-262-3.txt,112235,112265,"the [[Prototype]] of O is null,",null,"When the [[CanPut]] method of O is called with property P, the following steps are taken:
  ...
  4. If the [[Prototype]] of O is null, return true.","If the [[Prototype]] of O is null, return true.",null,binary-value,null,null
637efb0ca907ec96a46a9872,rhino-1.6R5,ECMA-262-3.txt,112619,112649,"the [[Prototype]] of O is null,",null,"When the [[HasProperty]] method of O is called with property name P, the following steps are taken:
  ...
  2. If the [[Prototype]] of O is null, return false.","If the [[Prototype]] of O is null, return false.",null,binary-value,null,null
637efb0ca907ec96a46a9873,rhino-1.6R5,ECMA-262-3.txt,113003,113044,"the property has the DontDelete attribute,",null,"When the [[Delete]] method of O is called with property name P, the following steps are taken:
  ...
  2. If the property has the DontDelete attribute, return false.","If the property has the DontDelete attribute, return false.",null,binary-value,null,null
637efb0ca907ec96a46a9874,rhino-1.6R5,ECMA-262-3.txt,117484,117501,"Result(2) is null,",null,"GetValue (V)
  ...
  3. If Result(2) is null, throw a ReferenceError exception.","If Result(2) is null, throw a ReferenceError exception.",null,binary-value,null,null
637efb0ca907ec96a46a9875,rhino-1.6R5,ECMA-262-3.txt,122281,122299,"the argument is +0,",null,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
  ...
  Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.","Number The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",null,value-comparison,null,null
637efb0ca907ec96a46a9876,rhino-1.6R5,ECMA-262-3.txt,122301,122303,"−0,",null,"The operator ToBoolean converts its argument to a value of type Boolean according to the following table:
  ...
  Number | The result is false if the argument is +0, −0, or NaN; otherwise the result is true.","Number The result is false if the argument is +0, −0, or NaN; otherwise the result is true.",null,value-comparison,null,null
